ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_4K4IHE,0,0,0,0,0,0
ID_U9Z9PF,0,0,0,0,0,0
ID_HX6A7Q,0,0,0,0,0,0
ID_CB9JIH,0,0,0,0,0,0
ID_HP3OJC,0,0,0,0,0,0
ID_15CTIR,0,0,0,0,0,0
ID_A7QLXN,0,0,0,0,0,0
ID_97B102,0,0,0,0,0,0
ID_2JV0A5,0,0,0,0,0,0
ID_4BHS4D,0,0,0,0,0,0
ID_475FQ7,0,0,0,0,0,0
ID_OOU6SR,0,0,0,0,0,0
ID_K9F2L9,0,0,0,0,0,0
ID_HVXRWN,0,0,0,0,0,0
ID_OD84X2,0,0,0,0,0,0
ID_S015G9,0,0,0,0,0,0
ID_SV5TAT,0,0,0,0,0,0
ID_CDCTHP,0,0,0,0,0,0
ID_AROTJX,0,0,0,0,0,0
ID_EHAJ1K,0,0,0,0,0,0
ID_IEX25G,0,0,0,0,0,0
ID_W88WIY,0,0,0,0,0,0
ID_J6RJJ3,0,0,0,0,0,0
ID_HXXXEO,0,0,0,0,0,0
ID_X4RW56,0,0,0,0,0,0
ID_R34IVE,0,0,0,0,0,0
ID_42HTPO,0,0,0,0,0,0
ID_S29RDB,0,0,0,0,0,0
ID_D92BW9,0,0,0,0,0,0
ID_LM303R,0,0,0,0,0,0
ID_9D1349,0,0,0,0,0,0
ID_YXYTNR,0,0,0,0,0,0
ID_LGBT94,0,0,0,0,0,0
ID_F5D4F1,0,0,0,0,0,0
ID_LCRAB6,0,0,0,0,0,0
ID_2S8CNZ,0,0,0,0,0,0
ID_1SGSZE,0,0,0,0,0,0
ID_KKBQQS,0,0,0,0,0,0
ID_XMDQ0Y,0,0,0,0,0,0
ID_J1LSS5,0,0,0,0,0,0
ID_UKASHO,0,0,0,0,0,0
ID_3RTT5L,0,0,0,0,0,0
ID_HWGAEQ,0,0,0,0,0,0
ID_U0LN1Z,0,0,0,0,0,0
ID_XCBXS7,0,0,0,0,0,0
ID_YFDC0M,0,0,0,0,0,0
ID_RCNWC6,0,0,0,0,0,0
ID_671WLE,0,0,0,0,0,0
ID_JXJ5V1,0,0,0,0,0,0
ID_QMT9FM,0,0,0,0,0,0
ID_VUL81Z,0,0,0,0,0,0
ID_MRZSZ3,0,0,0,0,0,0
ID_8HVUID,0,0,0,0,0,0
ID_3410TA,0,0,0,0,0,0
ID_ETZB50,0,0,0,0,0,0
ID_C19QG9,0,0,0,0,0,0
ID_L44KDR,0,0,0,0,0,0
ID_4DI6LA,0,0,0,0,0,0
ID_MLY1IW,0,0,0,0,0,0
ID_93HGEN,0,0,0,0,0,0
ID_LIHISF,0,0,0,0,0,0
ID_WE6D86,0,0,0,0,0,0
ID_GPFY9L,0,0,0,0,0,0
ID_RODTO0,0,0,0,0,0,0
ID_RX87BE,0,0,0,0,0,0
ID_38DTWE,0,0,0,0,0,0
ID_OZURHC,0,0,0,0,0,0
ID_C837CJ,0,0,0,0,0,0
ID_P91IX6,0,0,0,0,0,0
ID_8NF6B2,0,0,0,0,0,0
ID_4TNPPX,0,0,0,0,0,0
ID_B3KWIH,0,0,0,0,0,0
ID_SG931P,0,0,0,0,0,0
ID_BEPICH,0,0,0,0,0,0
ID_08XJFG,0,0,0,0,0,0
ID_D3YDST,0,0,0,0,0,0
ID_I6YHZD,0,0,0,0,0,0
ID_85J874,0,0,0,0,0,0
ID_VQEIBY,0,0,0,0,0,0
ID_0JQSZK,0,0,0,0,0,0
ID_JIDZNT,0,0,0,0,0,0
ID_15PDE4,0,0,0,0,0,0
ID_PKN25B,0,0,0,0,0,0
ID_D5RQPV,0,0,0,0,0,0
ID_0QRDVL,0,0,0,0,0,0
ID_LCBLI1,0,0,0,0,0,0
ID_RC9RKR,0,0,0,0,0,0
ID_HFEO8Z,0,0,0,0,0,0
ID_EFQEXF,0,0,0,0,0,0
ID_9UK4KJ,0,0,0,0,0,0
ID_VEMXQ2,0,0,0,0,0,0
ID_VGN8QR,0,0,0,0,0,0
ID_04QBJK,0,0,0,0,0,0
ID_M6902J,0,0,0,0,0,0
ID_5662X6,0,0,0,0,0,0
ID_EMVPFU,0,0,0,0,0,0
ID_7KALEL,0,0,0,0,0,0
ID_8APH0Q,0,0,0,0,0,0
ID_KR985R,0,0,0,0,0,0
ID_87YV3I,0,0,0,0,0,0
ID_TR8ASA,0,0,0,0,0,0
ID_MCNRLY,0,0,0,0,0,0
ID_U2C1OY,0,0,0,0,0,0
ID_02VC5B,0,0,0,0,0,0
ID_IMR2O6,0,0,0,0,0,0
ID_11U5X3,0,0,0,0,0,0
ID_BWQ4QE,0,0,0,0,0,0
ID_LMJQO0,0,0,0,0,0,0
ID_J8X1JQ,0,0,0,0,0,0
ID_IVOGMZ,0,0,0,0,0,0
ID_Z9OCJD,0,0,0,0,0,0
ID_W22JQT,0,0,0,0,0,0
ID_JG6KVB,0,0,0,0,0,0
ID_IRIQ9N,0,0,0,0,0,0
ID_O059B0,0,0,0,0,0,0
ID_CTIZD5,0,0,0,0,0,0
ID_ZIXA8E,0,0,0,0,0,0
ID_NB1NLU,0,0,0,0,0,0
ID_U6ULCZ,0,0,0,0,0,0
ID_QSX3RO,0,0,0,0,0,0
ID_1UA6WQ,0,0,0,0,0,0
ID_XPSO6B,0,0,0,0,0,0
ID_2ZQ7PC,0,0,0,0,0,0
ID_WDF4T1,0,0,0,0,0,0
ID_P6V6NH,0,0,0,0,0,0
ID_224AL4,0,0,0,0,0,0
ID_BOJ8C6,0,0,0,0,0,0
ID_FHTL2A,0,0,0,0,0,0
ID_4JT5BR,0,0,0,0,0,0
ID_3JRM7J,0,0,0,0,0,0
ID_QCP4DY,0,0,0,0,0,0
ID_N9NVTY,0,0,0,0,0,0
ID_L8NEX2,0,0,0,0,0,0
ID_V0ITZI,0,0,0,0,0,0
ID_U810NE,0,0,0,0,0,0
ID_T7IUG7,0,0,0,0,0,0
ID_P2HPA7,0,0,0,0,0,0
ID_7HCA07,0,0,0,0,0,0
ID_H1MCDH,0,0,0,0,0,0
ID_JAGL6N,0,0,0,0,0,0
ID_Q07G0X,0,0,0,0,0,0
ID_GFGBJP,0,0,0,0,0,0
ID_CCCZIE,0,0,0,0,0,0
ID_590HV5,0,0,0,0,0,0
ID_3V4E7G,0,0,0,0,0,0
ID_GIQVVF,0,0,0,0,0,0
ID_QLQOL2,0,0,0,0,0,0
ID_0CE2HK,0,0,0,0,0,0
ID_QG2TA1,0,0,0,0,0,0
ID_06I476,0,0,0,0,0,0
ID_MJ1FKS,0,0,0,0,0,0
ID_CVPRQL,0,0,0,0,0,0
ID_SZV3JP,0,0,0,0,0,0
ID_97O1LE,0,0,0,0,0,0
ID_DXPTCG,0,0,0,0,0,0
ID_VP7MWU,0,0,0,0,0,0
ID_YI13PR,0,0,0,0,0,0
ID_GKSEUX,0,0,0,0,0,0
ID_2JDZDR,0,0,0,0,0,0
ID_ESCEIY,0,0,0,0,0,0
ID_7YX6BJ,0,0,0,0,0,0
ID_K1MSGS,0,0,0,0,0,0
ID_HACR8W,0,0,0,0,0,0
ID_7IAGGB,0,0,0,0,0,0
ID_K1P3J8,0,0,0,0,0,0
ID_GHJU0P,0,0,0,0,0,0
ID_QB2VOQ,0,0,0,0,0,0
ID_917FV8,0,0,0,0,0,0
ID_XW1VHF,0,0,0,0,0,0
ID_UK4G6M,0,0,0,0,0,0
ID_BIPA8U,0,0,0,0,0,0
ID_Z3YZCX,0,0,0,0,0,0
ID_OII8NJ,0,0,0,0,0,0
ID_KVZHRX,0,0,0,0,0,0
ID_KKWKS6,0,0,0,0,0,0
ID_OABA3T,0,0,0,0,0,0
ID_XK9A5W,0,0,0,0,0,0
ID_QCOJ3X,0,0,0,0,0,0
ID_10YMBD,0,0,0,0,0,0
ID_LPH3DB,0,0,0,0,0,0
ID_KHSX16,0,0,0,0,0,0
ID_LTGA17,0,0,0,0,0,0
ID_3B3D83,0,0,0,0,0,0
ID_UQ2ERA,0,0,0,0,0,0
ID_RJVPF3,0,0,0,0,0,0
ID_HV0S70,0,0,0,0,0,0
ID_XBEH87,0,0,0,0,0,0
ID_RU36LB,0,0,0,0,0,0
ID_ZX0HBQ,0,0,0,0,0,0
ID_GKT8DV,0,0,0,0,0,0
ID_KHKU4Q,0,0,0,0,0,0
ID_XIMM99,0,0,0,0,0,0
ID_TBU5R1,0,0,0,0,0,0
ID_IXDD5C,0,0,0,0,0,0
ID_O6NVIA,0,0,0,0,0,0
ID_SUN5EY,0,0,0,0,0,0
ID_GYZ4QD,0,0,0,0,0,0
ID_L7KG54,0,0,0,0,0,0
ID_S6HTFD,0,0,0,0,0,0
ID_P06QON,0,0,0,0,0,0
ID_YOWRSL,0,0,0,0,0,0
ID_U5VLSB,0,0,0,0,0,0
ID_XGW2O2,0,0,0,0,0,0
ID_GQEHIP,0,0,0,0,0,0
ID_SG18NS,0,0,0,0,0,0
ID_V1RUP1,0,0,0,0,0,0
ID_SATMW5,0,0,0,0,0,0
ID_7BECWT,0,0,0,0,0,0
ID_S0YLSK,0,0,0,0,0,0
ID_KQF7DD,0,0,0,0,0,0
ID_L0BWUO,0,0,0,0,0,0
ID_QFB1JA,0,0,0,0,0,0
ID_5H2YDZ,0,0,0,0,0,0
ID_DT5H48,0,0,0,0,0,0
ID_EPUV7F,0,0,0,0,0,0
ID_D1W7AZ,0,0,0,0,0,0
ID_UOLZNR,0,0,0,0,0,0
ID_J7N1FB,0,0,0,0,0,0
ID_Q56GYN,0,0,0,0,0,0
ID_QM0CUB,0,0,0,0,0,0
ID_KFZM4L,0,0,0,0,0,0
ID_0JG3TM,0,0,0,0,0,0
ID_SU3V8X,0,0,0,0,0,0
ID_85P4YH,0,0,0,0,0,0
ID_IZF4GN,0,0,0,0,0,0
ID_9V9BNJ,0,0,0,0,0,0
ID_COSLW0,0,0,0,0,0,0
ID_JNAKG5,0,0,0,0,0,0
ID_22FKG1,0,0,0,0,0,0
ID_GO2BVN,0,0,0,0,0,0
ID_1D3R5U,0,0,0,0,0,0
ID_6HDHTS,0,0,0,0,0,0
ID_W82UZ2,0,0,0,0,0,0
ID_B8QQ14,0,0,0,0,0,0
ID_D50NYH,0,0,0,0,0,0
ID_TR3LZI,0,0,0,0,0,0
ID_X03IG4,0,0,0,0,0,0
ID_9W1DTW,0,0,0,0,0,0
ID_ELVMT3,0,0,0,0,0,0
ID_ACLR4X,0,0,0,0,0,0
ID_526E6B,0,0,0,0,0,0
ID_85BO18,0,0,0,0,0,0
ID_F7ZIJZ,0,0,0,0,0,0
ID_8DRM77,0,0,0,0,0,0
ID_7HA42W,0,0,0,0,0,0
ID_H0LTUX,0,0,0,0,0,0
ID_60JSZD,0,0,0,0,0,0
ID_U03OKF,0,0,0,0,0,0
ID_PG3BYK,0,0,0,0,0,0
ID_1VXGUB,0,0,0,0,0,0
ID_SA0EJV,0,0,0,0,0,0
ID_TG0ZNO,0,0,0,0,0,0
ID_OK1VUP,0,0,0,0,0,0
ID_NMESH4,0,0,0,0,0,0
ID_EWJ9VO,0,0,0,0,0,0
ID_HY4MBL,0,0,0,0,0,0
ID_VR31M9,0,0,0,0,0,0
ID_DPT0O6,0,0,0,0,0,0
ID_0CCA4F,0,0,0,0,0,0
ID_8DEOE6,0,0,0,0,0,0
ID_6PMH8O,0,0,0,0,0,0
ID_G4SI0V,0,0,0,0,0,0
ID_FFXJXU,0,0,0,0,0,0
ID_FP7DXV,0,0,0,0,0,0
ID_9GWO0I,0,0,0,0,0,0
ID_5K7ETI,0,0,0,0,0,0
ID_IUXQPV,0,0,0,0,0,0
ID_0OMUID,0,0,0,0,0,0
ID_YFBVK9,0,0,0,0,0,0
ID_V8VLC8,0,0,0,0,0,0
ID_00DZUV,0,0,0,0,0,0
ID_ZOW6TO,0,0,0,0,0,0
ID_HI16T2,0,0,0,0,0,0
ID_O76VHW,0,0,0,0,0,0
ID_UUULV5,0,0,0,0,0,0
ID_MHJ12U,0,0,0,0,0,0
ID_WKRV0S,0,0,0,0,0,0
ID_0EDVOO,0,0,0,0,0,0
ID_LZENBE,0,0,0,0,0,0
ID_SWD2XV,0,0,0,0,0,0
ID_HRPHAH,0,0,0,0,0,0
ID_LOIBL7,0,0,0,0,0,0
ID_O5A5SL,0,0,0,0,0,0
ID_JDKEGM,0,0,0,0,0,0
ID_9BJ65V,0,0,0,0,0,0
ID_TOUBDS,0,0,0,0,0,0
ID_LYPHKJ,0,0,0,0,0,0
ID_7BRQK3,0,0,0,0,0,0
ID_QFQB36,0,0,0,0,0,0
ID_RD2HT8,0,0,0,0,0,0
ID_3IQMTD,0,0,0,0,0,0
ID_YVW8FX,0,0,0,0,0,0
ID_8X19A2,0,0,0,0,0,0
ID_7UBQQ1,0,0,0,0,0,0
ID_RPDIFP,0,0,0,0,0,0
ID_M6XT25,0,0,0,0,0,0
ID_RDJTK6,0,0,0,0,0,0
ID_IK48F6,0,0,0,0,0,0
ID_BH8L7O,0,0,0,0,0,0
ID_5MC5NZ,0,0,0,0,0,0
ID_U8UVJ0,0,0,0,0,0,0
ID_28EYPT,0,0,0,0,0,0
ID_93YWC8,0,0,0,0,0,0
ID_V5332N,0,0,0,0,0,0
ID_W6HDV5,0,0,0,0,0,0
ID_63DZQ1,0,0,0,0,0,0
ID_IU1RUI,0,0,0,0,0,0
ID_OXNKLU,0,0,0,0,0,0
ID_VM1XCG,0,0,0,0,0,0
ID_35VBIN,0,0,0,0,0,0
ID_SVQ88Q,0,0,0,0,0,0
ID_JFWEX9,0,0,0,0,0,0
ID_PHWF17,0,0,0,0,0,0
ID_Y5BIWA,0,0,0,0,0,0
ID_FZVHYY,0,0,0,0,0,0
ID_EPTS2K,0,0,0,0,0,0
ID_Y7L6RK,0,0,0,0,0,0
ID_M3CIP9,0,0,0,0,0,0
ID_GJR246,0,0,0,0,0,0
ID_WOOP5X,0,0,0,0,0,0
ID_89A4YE,0,0,0,0,0,0
ID_R1CD9F,0,0,0,0,0,0
ID_NEBCGE,0,0,0,0,0,0
ID_AY542M,0,0,0,0,0,0
ID_KC3CBG,0,0,0,0,0,0
ID_K4ZNMT,0,0,0,0,0,0
ID_SBU7DK,0,0,0,0,0,0
ID_60I9OZ,0,0,0,0,0,0
ID_CON7O4,0,0,0,0,0,0
ID_WYGX88,0,0,0,0,0,0
ID_KEJ9UP,0,0,0,0,0,0
ID_49D2AR,0,0,0,0,0,0
ID_V7DMUX,0,0,0,0,0,0
ID_ZLQ4JH,0,0,0,0,0,0
ID_677O8P,0,0,0,0,0,0
ID_D02ECF,0,0,0,0,0,0
ID_5QBTV9,0,0,0,0,0,0
ID_25GIGF,0,0,0,0,0,0
ID_2EYUSI,0,0,0,0,0,0
ID_AFJISS,0,0,0,0,0,0
ID_P95MFR,0,0,0,0,0,0
ID_7LNIHE,0,0,0,0,0,0
ID_RJFY9O,0,0,0,0,0,0
ID_DHPPV2,0,0,0,0,0,0
ID_GW0TFH,0,0,0,0,0,0
ID_NL68DQ,0,0,0,0,0,0
ID_7V19DB,0,0,0,0,0,0
ID_8H47OG,0,0,0,0,0,0
ID_ZVKA4U,0,0,0,0,0,0
ID_ATOU9I,0,0,0,0,0,0
ID_XYCHYM,0,0,0,0,0,0
ID_E34NO5,0,0,0,0,0,0
ID_P64AZ0,0,0,0,0,0,0
ID_1QOZJU,0,0,0,0,0,0
ID_XLYALT,0,0,0,0,0,0
ID_WGDRNV,0,0,0,0,0,0
ID_B6R04O,0,0,0,0,0,0
ID_LNUKMI,0,0,0,0,0,0
ID_YQU1KF,0,0,0,0,0,0
ID_8NHM2A,0,0,0,0,0,0
ID_CDOW4B,0,0,0,0,0,0
ID_EX6VFO,0,0,0,0,0,0
ID_5RO8MY,0,0,0,0,0,0
ID_JLMYMA,0,0,0,0,0,0
ID_MVEV3V,0,0,0,0,0,0
ID_5S5YUE,0,0,0,0,0,0
ID_6VX4DA,0,0,0,0,0,0
ID_SC5634,0,0,0,0,0,0
ID_EZO6E7,0,0,0,0,0,0
ID_6QKL3H,0,0,0,0,0,0
ID_A11EEW,0,0,0,0,0,0
ID_1F53HQ,0,0,0,0,0,0
ID_BPD0T4,0,0,0,0,0,0
ID_6P0J6L,0,0,0,0,0,0
ID_2M35S8,0,0,0,0,0,0
ID_Z0NFOR,0,0,0,0,0,0
ID_EXDP8Y,0,0,0,0,0,0
ID_QRLVAL,0,0,0,0,0,0
ID_Y8G6YL,0,0,0,0,0,0
ID_X6X0ZN,0,0,0,0,0,0
ID_LYVJ1L,0,0,0,0,0,0
ID_MNE22V,0,0,0,0,0,0
ID_PUNH2D,0,0,0,0,0,0
ID_8WSWMT,0,0,0,0,0,0
ID_ZDYSIZ,0,0,0,0,0,0
ID_PFPEKM,0,0,0,0,0,0
ID_NNZAIC,0,0,0,0,0,0
ID_1TLG7R,0,0,0,0,0,0
ID_9H2JEC,0,0,0,0,0,0
ID_LLCJJG,0,0,0,0,0,0
ID_7ILKZQ,0,0,0,0,0,0
ID_UBXNCV,0,0,0,0,0,0
ID_UXA3BF,0,0,0,0,0,0
ID_249DRM,0,0,0,0,0,0
ID_Z9QNGS,0,0,0,0,0,0
ID_5V5YL7,0,0,0,0,0,0
ID_A7GQU5,0,0,0,0,0,0
ID_B33J1S,0,0,0,0,0,0
ID_KO7FBB,0,0,0,0,0,0
ID_7DB6U3,0,0,0,0,0,0
ID_L6C55N,0,0,0,0,0,0
ID_5S3A5Z,0,0,0,0,0,0
ID_WNRIP1,0,0,0,0,0,0
ID_14WLPI,0,0,0,0,0,0
ID_O9X6J6,0,0,0,0,0,0
ID_RA2DLW,0,0,0,0,0,0
ID_3ARXWX,0,0,0,0,0,0
ID_GTXRS7,0,0,0,0,0,0
ID_53HFX3,0,0,0,0,0,0
ID_MHS7P6,0,0,0,0,0,0
ID_83W356,0,0,0,0,0,0
ID_YYDX2H,0,0,0,0,0,0
ID_LM4X5P,0,0,0,0,0,0
ID_RUYJOV,0,0,0,0,0,0
ID_VWYZDV,0,0,0,0,0,0
ID_SMEEWO,0,0,0,0,0,0
ID_6AMJI3,0,0,0,0,0,0
ID_34VCUO,0,0,0,0,0,0
ID_B3QCGW,0,0,0,0,0,0
ID_YJ4QD4,0,0,0,0,0,0
ID_H4YDLW,0,0,0,0,0,0
ID_E03C34,0,0,0,0,0,0
ID_170IHM,0,0,0,0,0,0
ID_AQD45I,0,0,0,0,0,0
ID_XVPUUZ,0,0,0,0,0,0
ID_XI6QQ0,0,0,0,0,0,0
ID_GN5HJG,0,0,0,0,0,0
ID_72UHEN,0,0,0,0,0,0
ID_TM0IMP,0,0,0,0,0,0
ID_YGEZQG,0,0,0,0,0,0
ID_NB35EZ,0,0,0,0,0,0
ID_B44OOF,0,0,0,0,0,0
ID_NTHRCW,0,0,0,0,0,0
ID_4M0YMS,0,0,0,0,0,0
ID_MDPJ5N,0,0,0,0,0,0
ID_GCE89L,0,0,0,0,0,0
ID_5I780C,0,0,0,0,0,0
ID_2B7SR5,0,0,0,0,0,0
ID_NUEHVL,0,0,0,0,0,0
ID_M0Z56V,0,0,0,0,0,0
ID_QWOKAX,0,0,0,0,0,0
ID_6E3ARV,0,0,0,0,0,0
ID_F120A9,0,0,0,0,0,0
ID_92GH8G,0,0,0,0,0,0
ID_SK11B2,0,0,0,0,0,0
ID_3ONHGA,0,0,0,0,0,0
ID_CCEFHU,0,0,0,0,0,0
ID_N914ML,0,0,0,0,0,0
ID_DT1RJO,0,0,0,0,0,0
ID_AKS62G,0,0,0,0,0,0
ID_AOUGMR,0,0,0,0,0,0
ID_5R164Q,0,0,0,0,0,0
ID_HNW1SP,0,0,0,0,0,0
ID_OOPSZH,0,0,0,0,0,0
ID_VAJKEF,0,0,0,0,0,0
ID_XO432P,0,0,0,0,0,0
ID_EIKAR0,0,0,0,0,0,0
ID_DYDUC0,0,0,0,0,0,0
ID_0E6AWX,0,0,0,0,0,0
ID_RCKGWH,0,0,0,0,0,0
ID_MPEJJ7,0,0,0,0,0,0
ID_92GB4X,0,0,0,0,0,0
ID_PF9MLB,0,0,0,0,0,0
ID_BKPXHW,0,0,0,0,0,0
ID_0U0CZ6,0,0,0,0,0,0
ID_W2OT9E,0,0,0,0,0,0
ID_533G8B,0,0,0,0,0,0
ID_Z8YTI6,0,0,0,0,0,0
ID_6C4OE9,0,0,0,0,0,0
ID_KL4MG7,0,0,0,0,0,0
ID_MTIIWZ,0,0,0,0,0,0
ID_FUAXKT,0,0,0,0,0,0
ID_2FIUCN,0,0,0,0,0,0
ID_BZ0G9W,0,0,0,0,0,0
ID_UK2N3N,0,0,0,0,0,0
ID_51JHHB,0,0,0,0,0,0
ID_E8M783,0,0,0,0,0,0
ID_HGRL68,0,0,0,0,0,0
ID_Z099ZD,0,0,0,0,0,0
ID_J98CG9,0,0,0,0,0,0
ID_3UQ81U,0,0,0,0,0,0
ID_NZIYML,0,0,0,0,0,0
ID_TDYO22,0,0,0,0,0,0
ID_PJ4KK1,0,0,0,0,0,0
ID_I9K28A,0,0,0,0,0,0
ID_1DU4K9,0,0,0,0,0,0
ID_GTAZM3,0,0,0,0,0,0
ID_85BE9E,0,0,0,0,0,0
ID_7P1FDA,0,0,0,0,0,0
ID_RUN0MH,0,0,0,0,0,0
ID_YBFBW4,0,0,0,0,0,0
ID_NE459Y,0,0,0,0,0,0
ID_GGZZ9O,0,0,0,0,0,0
ID_H1PP14,0,0,0,0,0,0
ID_0PPL34,0,0,0,0,0,0
ID_CRMQQO,0,0,0,0,0,0
ID_A0YIQ0,0,0,0,0,0,0
ID_Q1TCRH,0,0,0,0,0,0
ID_94MXFN,0,0,0,0,0,0
ID_88SLJ5,0,0,0,0,0,0
ID_ECEAEJ,0,0,0,0,0,0
ID_4QDWP4,0,0,0,0,0,0
ID_UH4UW8,0,0,0,0,0,0
ID_VCFVPX,0,0,0,0,0,0
ID_04ZSOG,0,0,0,0,0,0
ID_BQ8JLJ,0,0,0,0,0,0
ID_35RX02,0,0,0,0,0,0
ID_GOXE3K,0,0,0,0,0,0
ID_U5RFQ3,0,0,0,0,0,0
ID_DM55ZQ,0,0,0,0,0,0
ID_A1QQRA,0,0,0,0,0,0
ID_19O4B5,0,0,0,0,0,0
ID_5REP3T,0,0,0,0,0,0
ID_OF5R7M,0,0,0,0,0,0
ID_Q1LGPO,0,0,0,0,0,0
ID_K5EEX9,0,0,0,0,0,0
ID_IQGKMC,0,0,0,0,0,0
ID_HT38F6,0,0,0,0,0,0
ID_LZLRNV,0,0,0,0,0,0
ID_TWJQGO,0,0,0,0,0,0
ID_0CL91E,0,0,0,0,0,0
ID_57W8R1,0,0,0,0,0,0
ID_5WL00B,0,0,0,0,0,0
ID_GXWOO5,0,0,0,0,0,0
ID_TWRUWM,0,0,0,0,0,0
ID_A9BGIR,0,0,0,0,0,0
ID_2JI71I,0,0,0,0,0,0
ID_ML47TN,0,0,0,0,0,0
ID_7WZ9FK,0,0,0,0,0,0
ID_DRELA9,0,0,0,0,0,0
ID_J8US98,0,0,0,0,0,0
ID_H10W0Q,0,0,0,0,0,0
ID_9ZL287,0,0,0,0,0,0
ID_TZBCSR,0,0,0,0,0,0
ID_FTIP85,0,0,0,0,0,0
ID_FJN24X,0,0,0,0,0,0
ID_VKFW41,0,0,0,0,0,0
ID_TAJUDM,0,0,0,0,0,0
ID_MTGYGV,0,0,0,0,0,0
ID_71YOL3,0,0,0,0,0,0
ID_7CNHAN,0,0,0,0,0,0
ID_OZTOGX,0,0,0,0,0,0
ID_S9GOKQ,0,0,0,0,0,0
ID_TCCXJY,0,0,0,0,0,0
ID_UJI7EY,0,0,0,0,0,0
ID_WSXVUU,0,0,0,0,0,0
ID_FXV3ZJ,0,0,0,0,0,0
ID_CFIC5L,0,0,0,0,0,0
ID_T9BUYJ,0,0,0,0,0,0
ID_2KG52B,0,0,0,0,0,0
ID_U4YBEU,0,0,0,0,0,0
ID_J8SQUH,0,0,0,0,0,0
ID_UMRHMM,0,0,0,0,0,0
ID_XS0D20,0,0,0,0,0,0
ID_UT4QJ0,0,0,0,0,0,0
ID_LWNW4V,0,0,0,0,0,0
ID_I5ITGA,0,0,0,0,0,0
ID_63LRW5,0,0,0,0,0,0
ID_ECWV3B,0,0,0,0,0,0
ID_WYQ24M,0,0,0,0,0,0
ID_H9HY14,0,0,0,0,0,0
ID_UHQ8W8,0,0,0,0,0,0
ID_0U4OWS,0,0,0,0,0,0
ID_0ISQF0,0,0,0,0,0,0
ID_1AME4K,0,0,0,0,0,0
ID_2WSSFW,0,0,0,0,0,0
ID_LFVE77,0,0,0,0,0,0
ID_NEY52P,0,0,0,0,0,0
ID_17EACN,0,0,0,0,0,0
ID_6O0STD,0,0,0,0,0,0
ID_5YH0SU,0,0,0,0,0,0
ID_VQRYU1,0,0,0,0,0,0
ID_B6QT72,0,0,0,0,0,0
ID_XGRMG5,0,0,0,0,0,0
ID_MDIKUJ,0,0,0,0,0,0
ID_R4G4CS,0,0,0,0,0,0
ID_7841GQ,0,0,0,0,0,0
ID_68H8D0,0,0,0,0,0,0
ID_MQ1XM6,0,0,0,0,0,0
ID_2ELMR8,0,0,0,0,0,0
ID_EVBKW0,0,0,0,0,0,0
ID_Z6ZMD2,0,0,0,0,0,0
ID_QJVZET,0,0,0,0,0,0
ID_CQT5H1,0,0,0,0,0,0
ID_973XDF,0,0,0,0,0,0
ID_NSA0JJ,0,0,0,0,0,0
ID_FL0OCB,0,0,0,0,0,0
ID_2VHH1D,0,0,0,0,0,0
ID_U6MZRL,0,0,0,0,0,0
ID_MC3FP5,0,0,0,0,0,0
ID_9UV0JT,0,0,0,0,0,0
